投資組合截至,"2014/10/31"
 
股票代號,成分股名稱,比重(%),上市交易所代號,SEDOL,市場價格,市值,股份數目,行業,
"601009","南京銀行","0.38","XSHG","B232ZB2","13.54","1,051,766","77,680","金融","-"
"000768","西飛國際","0.38","XSHE","6004017","20.16","1,047,363","51,941","工業","-"
"002594","比亞迪","0.38","XSHE","B466322","59.27","1,045,868","17,646","非必需消費品","-"
"600019","寶鋼股份","0.38","XSHG","6307954","5.62","1,045,550","186,198","原材料","-"
"600739","遼寧成大","0.37","XSHG","6515854","20.06","1,031,707","51,422","工業","-"
"000338","濰柴動力","0.37","XSHE","B1WPGD4","25.65","1,024,731","39,945","工業","-"
"000157","中聯重科","0.37","XSHE","6289977","6.15","1,017,185","165,524","工業","-"
"601899","紫金礦業","0.36","XSHG","B2QZ4S8","3.32","988,129","297,747","原材料","-"
"601377","興業證券","0.36","XSHG","B684TD1","8.14","987,144","121,286","金融","-"
"002241","歌爾聲學","0.35","XSHE","B2R9WZ2","34.08","980,800","28,777","資訊科技","-"
"601186","中國鐵建","0.35","XSHG","B2PPPG4","8.14","980,470","120,466","工業","-"
"600109","國金證券","0.34","XSHG","6093048","16.10","953,615","59,226","金融","-"
"000009","中國寶安","0.34","XSHE","6803098","16.37","953,303","58,248","金融","-"
"000069","華僑城Ａ","0.34","XSHE","6036991","6.95","952,489","136,993","非必需消費品","-"
"600309","煙台萬華","0.33","XSHG","6314932","22.50","916,516","40,736","原材料","-"
"002304","洋河股份","0.33","XSHE","B55JM22","76.23","912,763","11,974","基本消費品","-"
"000562","宏源證券","0.33","XSHE","6984294","17.86","904,691","50,668","金融","-"
"000895","雙匯發展","0.32","XSHE","6128780","35.96","880,193","24,475","基本消費品","-"
"002202","金鳳科技","0.32","XSHE","B29VXG4","15.43","879,206","56,971","工業","-"
"601988","中國銀行","0.32","XSHG","B180B49","3.53","877,473","248,351","金融","-"
"600031","三一重工","0.31","XSHG","6648824","7.55","866,240","114,796","工業","-"
"600832","東方明珠","0.31","XSHG","6817129","13.77","858,606","62,339","非必需消費品","-"
"600674","川投能源","0.31","XSHG","6313092","22.07","855,760","38,775","公用事業","-"
"000423","東阿阿膠","0.31","XSHE","6276719","43.11","849,342","19,704","醫療保健","-"
"600100","同方股份","0.31","XSHG","6093060","14.04","845,800","60,223","資訊科技","-"
"600804","鵬博士","0.30","XSHG","6201498","20.43","841,735","41,202","電訊業務","-"
"600703","三安光電","0.30","XSHG","6773511","18.92","827,258","43,735","資訊科技","-"
"600066","宇通客車","0.30","XSHG","6990718","23.47","818,770","34,885","非必需消費品","-"
"600315","上海家化","0.29","XSHG","6330239","45.64","808,354","17,711","基本消費品","-"
"000728","國元證券","0.29","XSHE","6110088","20.95","804,840","38,423","金融","-"
"600893","航空動力","0.29","XSHG","6479024","37.63","801,376","21,297","工業","-"
"000061","農產品","0.29","XSHE","6798105","15.29","792,979","51,850","基本消費品","-"
"000581","威孚高科","0.29","XSHE","6129255","35.42","792,176","22,365","非必需消費品","-"
"000503","海虹企業","0.29","XSHE","6803106","28.96","790,076","27,282","-","-"
"600839","四川長虹","0.28","XSHG","6818207","5.46","789,542","144,503","非必需消費品","-"
"002081","金螳螂","0.28","XSHE","B1GGYB7","22.32","768,644","34,434","工業","-"
"000402","金融街","0.28","XSHE","6177685","8.10","767,598","94,752","金融","-"
"000623","吉林敖東","0.27","XSHE","6086297","27.08","758,116","27,996","醫療保健","-"
"600009","上海機場","0.27","XSHG","6104780","19.63","740,005","37,689","工業","-"
"600352","浙江龍盛","0.27","XSHG","6673280","18.76","737,812","39,321","原材料","-"
"601669","中國水電","0.26","XSHG","B4TH690","4.86","733,580","151,000","工業","-"
"002236","大華股份","0.26","XSHE","B2R8334","32.69","732,133","22,393","資訊科技","-"
"000039","中集集團","0.26","XSHE","6191340","21.30","718,965","33,754","工業","-"
"601998","中信銀行","0.26","XSHG","B1VXHG9","6.17","716,146","116,060","金融","-"
"002230","科大訊飛","0.26","XSHE","B2R0YF9","37.50","707,220","18,858","資訊科技","-"
"000831","五礦稀土","0.25","XSHE","6117885","31.05","702,604","22,625","原材料","-"
"600372","中航電子","0.25","XSHG","6371896","34.75","700,973","20,171","工業","-"
"601607","上海醫藥","0.25","XSHG","6783941","18.54","697,387","37,622","基本消費品","-"
"600660","福耀玻璃","0.25","XSHG","6353537","13.44","697,284","51,886","非必需消費品","-"
"600583","海油工程","0.25","XSHG","6439794","10.01","692,442","69,199","能源","-"
"600332","白雲山","0.25","XSHG","6317179","34.39","690,429","20,079","醫療保健","-"
"600741","華域汽車","0.25","XSHG","6801713","17.06","689,748","40,430","非必需消費品","-"
"600271","航天信息","0.25","XSHG","6651297","31.67","686,251","21,667","資訊科技","-"
"002008","大族激光","0.25","XSHE","B01KLZ0","22.27","683,298","30,680","-","-"
"000024","招商地產","0.24","XSHE","6205876","16.72","676,074","40,436","金融","-"
"600118","中國衛星","0.24","XSHG","6018858","29.06","672,287","23,134","工業","-"
"600340","華夏幸福","0.24","XSHG","6727604","32.44","671,589","20,701","金融","-"
"600705","中航投資","0.24","XSHG","6110602","23.76","670,600","28,223","-","-"
"600600","青島啤酒","0.24","XSHG","6902854","49.11","668,800","13,618","基本消費品","-"
"000970","中科三環","0.24","XSHE","6242442","20.04","668,598","33,366","資訊科技","-"
"600221","海南航空","0.24","XSHG","6180809","2.89","667,805","231,102","工業","-"
"600153","建發股份","0.24","XSHG","6116956","9.72","653,479","67,256","工業","-"
"002353","傑瑞股份","0.23","XSHE","B60Q9M4","46.50","650,760","13,995","能源","-"
